docket_id,case_name,docket_number,pacer_case_id,slug,absolute_url,court_id,cause,nature_of_suit,jurisdiction_type,date_filed,date_terminated,date_last_filing,assigned_to_str,referred_to_str,jury_demand,idb_disposition,idb_judgment,idb_procedural_progress,idb_nature_of_suit,idb_monetary_demand,idb_pro_se,idb_class_action,idb_origin,idb_jury_demand,has_opinions,scrape_status,scraped_at
24952,Cape Ann Investors v. Lepone,1:00-cv-11531,2334,cape-ann-investors-v-lepone,/docket/24952/cape-ann-investors-v-lepone/,mad,15:78m(a) Securities Exchange Act,850 Securities/Commodities,Federal Question,2000-08-01,2001-10-31,2004-02-23,Richard G. Stearns,,None,6,2,5,850,0.0,0,,1,,1,done,2026-04-09 20:31:30
26330,"The City National Bank Of Fort Smith, Arkansas v. Ilo Vanderboom",19550-4,,the-city-national-bank-of-fort-smith-arkansas-v-ilo-vanderboom,/docket/26330/the-city-national-bank-of-fort-smith-arkansas-v-ilo-vanderboom/,ca8,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:31:39
26520,Gillespie v. Seymour,"63,791",,gillespie-v-seymour,/docket/26520/gillespie-v-seymour/,kanctapp,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:31:48
27154,"In Re American Intern. Group, Inc. 2008 Securities",Master File 08 Civ. 4772 (LTS),,in-re-american-intern-group-inc-2008-securities,/docket/27154/in-re-american-intern-group-inc-2008-securities/,nysd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:31:57
27676,In Re Number Nine Visual Technology Corp.,CIV. A. 96-11207-WGY,,in-re-number-nine-visual-technology-corp,/docket/27676/in-re-number-nine-visual-technology-corp/,mad,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:32:06
27885,"In Re Cardinal Health, Inc. Securities Litigation",Master File C2-04-575,,in-re-cardinal-health-inc-securities-litigation,/docket/27885/in-re-cardinal-health-inc-securities-litigation/,ohsd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:32:15
28160,Golding v. Barr,18-772,,golding-v-barr,/docket/28160/golding-v-barr/,ca2,,,,2018-03-20,,,,,,,,,,,,,,,1,done,2026-04-09 20:32:24
28228,Yang v. New York State Board of Electi,20-1494,,yang-v-new-york-state-board-of-electi,/docket/28228/yang-v-new-york-state-board-of-electi/,ca2,,3441 CIVIL RIGHTS-Voting,,2020-05-06,,,,,,,,,,,,,,,1,done,2026-04-09 20:32:36
28229,Mahmoud Latif v. Morgan Stanley & Co. LLC,19-2315,,mahmoud-latif-v-morgan-stanley-co-llc,/docket/28229/mahmoud-latif-v-morgan-stanley-co-llc/,ca2,,3442 CIVIL RIGHTS-Jobs,,2019-07-25,2019-12-11,,,,,,,,,,,,,,1,done,2026-04-09 20:32:45
30621,Snell v. Neville,19-2018,,snell-v-neville,/docket/30621/snell-v-neville/,ca1,,3550 Prisoner Civil Rights,,2019-10-18,,,,,,,,,,,,,,,1,done,2026-04-09 20:32:54
30892,Eisen v. Carlisle & Jacquelin,30934_1,,eisen-v-carlisle-jacquelin,/docket/30892/eisen-v-carlisle-jacquelin/,ca2,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:33:03
30906,"Republic Bank & Trust Company v. Bear Stearns & Company., Inc.",10-5510,,republic-bank-trust-company-v-bear-stearns-company-inc,/docket/30906/republic-bank-trust-company-v-bear-stearns-company-inc/,ca6,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:33:12
31110,"Ernest Ray Ritch, Mary J. Ritch v. The Robinson-Humphrey Co.",97-6576,,ernest-ray-ritch-mary-j-ritch-v-the-robinson-humphrey-co,/docket/31110/ernest-ray-ritch-mary-j-ritch-v-the-robinson-humphrey-co/,ca11,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:33:21
31177,Smachlo v. Birkelo,Civ. A. 83-233-JLL,,smachlo-v-birkelo,/docket/31177/smachlo-v-birkelo/,ded,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:33:30
31208,Allard v. Arthur Andersen & Co.(USA),84 Civ. 7703 (MBM),,allard-v-arthur-andersen-cousa,/docket/31208/allard-v-arthur-andersen-cousa/,nysd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 20:53:39
35357,"In Re Harley Davidson, Inc., Securities Litigation",Case 05-C-0547-CNC,,in-re-harley-davidson-inc-securities-litigation,/docket/35357/in-re-harley-davidson-inc-securities-litigation/,wied,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:05:50
35619,In Re Parmalat Securities Litigation,This document relates to: Nos. 04 Civ. 0030(LAK). 04 MD 1653(LAK),,in-re-parmalat-securities-litigation,/docket/35619/in-re-parmalat-securities-litigation/,nysd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:05:59
35645,"Jeffrey R. Cooper v. Phillip Glasser, Richard Glasser, David Glasser and Does 1-50",M2012-00344-COA-R3-CV,,jeffrey-r-cooper-v-phillip-glasser-richard-glasser-david-glasser-and,/docket/35645/jeffrey-r-cooper-v-phillip-glasser-richard-glasser-david-glasser-and/,tennctapp,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:06:08
35738,United States v. Finnerty,05 Cr. 393 DC,,united-states-v-finnerty,/docket/35738/united-states-v-finnerty/,nysd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:06:17
35987,In Re Baker Hughes Securities Litigation,CIV.A. H-99-4281,,in-re-baker-hughes-securities-litigation,/docket/35987/in-re-baker-hughes-securities-litigation/,txsd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:06:26
36052,"EZRA Charitable Trust v. Rent-Way, Inc.",C.A. 00-323 Erie,,ezra-charitable-trust-v-rent-way-inc,/docket/36052/ezra-charitable-trust-v-rent-way-inc/,pawd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:06:35
36433,In Re FVC. COM Securities Litigation,99-1815 CRB,,in-re-fvc-com-securities-litigation,/docket/36433/in-re-fvc-com-securities-litigation/,cand,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:06:44
36691,IKON OFFICE SOLUTION v. SECURITIES LITIGATIO,2:98-cv-04286,97714,ikon-office-solution-v-securities-litigatio,/docket/36691/ikon-office-solution-v-securities-litigatio/,paed,,,,1998-08-14,2001-02-06,2006-05-09,MARVIN KATZ,,,,,,,,,,,,1,done,2026-04-09 21:06:53
37197,"Charal Inv. Co., Inc. v. Rockefeller",Civ. A. 96-543(RRM),,charal-inv-co-inc-v-rockefeller,/docket/37197/charal-inv-co-inc-v-rockefeller/,ded,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:07:03
37413,"SEC v. Penthouse Intern., Inc.",05 Civ. 0780RWS,,sec-v-penthouse-intern-inc,/docket/37413/sec-v-penthouse-intern-inc/,nysd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:07:11
37926,"Stammco, L.L.C. v. United Tel. Co. of Ohio",2012-0169,,stammco-llc-v-united-tel-co-of-ohio,/docket/37926/stammco-llc-v-united-tel-co-of-ohio/,ohio,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:07:23
37974,Alexander Theoharous v. Henry Fong,"00-12532, 00-12533",,alexander-theoharous-v-henry-fong,/docket/37974/alexander-theoharous-v-henry-fong/,ca11,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:07:32
38834,United States v. Swanson,1:01-y-00278,11291,united-states-v-swanson,/docket/38834/united-states-v-swanson/,cod,,,,2001-09-24,2001-10-01,,Zita L. Weinshienk,,,,,,,,,,,,1,done,2026-04-09 21:07:41
39142,"In Re MicroStrategy, Inc. Securities Litigation",Civ.A. 00-473-A,,in-re-microstrategy-inc-securities-litigation,/docket/39142/in-re-microstrategy-inc-securities-litigation/,vaed,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:07:50
39760,"Gabriel Capital, LP v. NatWest Finance, Inc.",99 CIV. 10488(SAS),,gabriel-capital-lp-v-natwest-finance-inc,/docket/39760/gabriel-capital-lp-v-natwest-finance-inc/,nysd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:07:59
